county_fips,state_name,slope_drop_dist,mean_after_drop_dist,slope_last_fatigue_dist,slope_drop_visitation,mean_after_drop_visitation,slope_last_fatigue_visitation,slope_drop_encounters,mean_after_drop_encounters,slope_last_fatigue_encounters,median_household_income,prop_poor,pop_density_land,black_prop,proportion_essential,prop_coverage
1039,alabama,-0.01422328,-0.276640839,0.011839516,-0.033461531,-0.501739479,0.028248948,-0.023714072,-0.717648952,0.031865055,40203,0.199,13.99370346,0.124425458,0.481624758,0.89
1067,alabama,-0.012416323,-0.295653671,0.010047538,,,,-0.026384327,-0.64000008,0.034045667,46027,0.179,11.76966574,0.258295078,0.219185147,0.84
1017,alabama,-0.012240086,-0.298575573,0.00962478,-0.024394855,-0.396841798,0.023490797,-0.023158356,-0.633583008,0.038888465,39917,0.187,21.89263808,0.395656701,0.268428373,0.89
1037,alabama,-0.010406888,-0.246872019,0.008760201,,,,-0.017002097,-0.392056574,0.061449514,42423,0.189,6.438885282,0.304713019,0.308016878,0.7
1043,alabama,-0.012312163,-0.224480831,0.011093059,-0.04867776,-0.50364953,0.029496353,-0.029382642,-0.692052127,0.047281947,45796,0.145,43.25267563,0.012056279,0.418934502,0.93
1027,alabama,-0.012271703,-0.277566778,0.009941637,-0.010689649,-0.432075462,0.020241542,-0.031551593,-0.656473569,0.035571111,39201,0.176,8.552331345,0.138305085,0.66185567,0.73
1025,alabama,-0.009102911,-0.299776307,0.009901361,-0.021104258,-0.371130035,0.024260312,-0.03159296,-0.64585477,0.021478791,40741,0.228,7.603131652,0.443269231,0.234873749,0.76
1107,alabama,-0.012429189,-0.309675973,0.011475343,,,,-0.029213027,-0.733210231,0.018098866,37586,0.231,8.891346444,0.398234527,0.153895275,0.68
1081,alabama,-0.027729398,-0.282510455,0.013824335,-0.03858419,-0.500556475,0.011847142,-0.053764706,-0.83207719,0.011784089,48937,0.19,101.2278644,0.227770966,0.251497715,0.89
1131,alabama,-0.011204299,-0.372319088,0.00995383,,,,-0.021836136,-0.808421663,0.006360305,25385,0.334,4.69736954,0.707349205,0.2109375,0.76
1001,alabama,-0.012916798,-0.339427892,0.010815087,-0.03568624,-0.412639637,0.025772155,-0.03510715,-0.658481019,0.031918716,59338,0.138,35.85341899,0.193431773,0.279867027,0.85
1061,alabama,-0.01211319,-0.276324406,0.011432084,-0.007555998,-0.302542246,0.020075898,-0.020658888,-0.597028163,0.040752145,37823,0.213,17.80431585,0.093144334,0.287118287,0.95
1055,alabama,-0.014752439,-0.263654021,0.011031761,-0.054055261,-0.5152694,0.020278105,-0.037528324,-0.70921738,0.039352743,44903,0.175,74.25054812,0.154837514,0.41668804,0.89
1021,alabama,-0.010528073,-0.288628941,0.010352828,-0.027791438,-0.402307479,0.01783498,-0.02608082,-0.671865214,0.035086481,47547,0.173,24.48066939,0.099676126,0.301399145,0.9
1103,alabama,-0.017260556,-0.251485293,0.010131589,-0.039366951,-0.451744323,0.022718544,-0.033070152,-0.687486565,0.040329817,52797,0.132,79.38223066,0.126594396,0.3495086,0.88
1015,alabama,-0.013488483,-0.268619772,0.00976305,-0.052978127,-0.529397713,0.020660427,-0.048825056,-0.724694392,0.035485501,45400,0.195,73.348688,0.208502148,0.308682695,0.88
5041,arkansas,-0.007534792,-0.24422212,0.005708507,-0.010491475,-0.299128071,0.027556676,-0.023189749,-0.636479322,0.020925714,36132,0.243,5.974983295,0.468902015,0.44852532,0.92
5081,arkansas,-0.007518514,-0.24542589,0.00424747,,,,-0.01978746,-0.553587722,0.023821162,43559,0.16,9.007542588,0.196089567,0.353312303,0.78
5117,arkansas,-0.003162745,-0.0938449,,,,,-0.016377155,-0.618329755,0.029700925,43245,0.158,4.912934335,0.117166213,0.389473684,0.77
5051,arkansas,-0.024132909,-0.348712345,0.006399905,-0.045922497,-0.596219814,0.008341445,-0.048773967,-0.777615077,0.015471583,43610,0.204,55.99985179,0.085311737,0.35221245,0.96
5029,arkansas,-0.007381219,-0.157060557,0.003547605,-0.010363694,-0.287287973,0.020700278,-0.028199864,-0.610511289,0.016452145,44565,0.179,14.61617031,0.113110909,0.203115455,0.85
5035,arkansas,-0.006051842,-0.094743733,0.003549544,-0.018690645,-0.354889435,0.015518312,-0.025048654,-0.604108115,0.030503546,42606,0.192,31.00606806,0.536614124,0.420338615,1
5139,arkansas,-0.014524812,-0.298198729,0.008757115,-0.035264771,-0.489165273,0.016912834,-0.028334511,-0.714964132,0.042283341,45335,0.182,14.76172209,0.326330317,0.328624606,0.94
5111,arkansas,-0.008163482,-0.199859547,0.005308449,-0.009323576,-0.238527023,0.015583815,-0.020654542,-0.497708656,0.027628906,37370,0.237,12.24652429,0.082130642,0.281904762,0.89
5015,arkansas,-0.017785426,-0.376503835,0.010999108,-0.011217783,-0.330185246,0.007730277,-0.026521558,-0.72480266,0.006523354,45023,0.161,17.09180309,0.005491975,0.272072072,0.81
5133,arkansas,-0.012855357,-0.293933564,0.004510338,,,,-0.029692675,-0.656647202,0.016715958,44100,0.201,11.74641335,0.036758271,0.269414576,0.82
5085,arkansas,-0.010630515,-0.202609293,0.004899232,-0.033768085,-0.448537027,0.02073391,-0.029992475,-0.685936339,0.025920158,56651,0.119,36.16397177,0.062329446,0.31197995,0.94
5105,arkansas,-0.011454095,-0.324037203,0.0043868,,,,-0.037242293,-0.537469394,0.019148507,45342,0.147,7.22554351,0.020285935,0.64,0.82
5019,arkansas,-0.005771569,-0.073473814,0.007164744,-0.06934995,-0.714414246,0.006492826,-0.044519739,-0.799057946,0.011416061,45408,0.199,9.979357949,0.241104211,0.336793541,0.81
5003,arkansas,-0.013342549,-0.303323754,0.007161528,-0.012399709,-0.293717676,0.01344677,-0.029383435,-0.720246284,0.016252011,41127,0.196,8.568999577,0.244986531,0.354597448,0.83
5067,arkansas,-0.006964095,-0.196120381,0.002391032,-0.006419169,-0.270894715,0.029435549,-0.019994827,-0.506031643,0.024136794,36573,0.256,10.49119353,0.174944977,0.252077562,0.7
5107,arkansas,-0.010922725,-0.238178009,0.009000903,-0.010180777,-0.183398546,0.009431277,-0.021246066,-0.561816228,0.039153506,29945,0.354,10.56464774,0.614399024,0.399607266,0.83
5079,arkansas,-0.009696565,-0.279183,0.004943433,,,,-0.021395362,-0.518587726,0.035561297,44951,0.275,9.416005919,0.302548009,0.078688525,0.53
5027,arkansas,-0.012085303,-0.357083204,0.007123095,-0.027989475,-0.438257963,0.01092801,-0.038225125,-0.752886802,0.016679558,40909,0.224,12.04300901,0.353443514,0.517160162,0.78
5045,arkansas,-0.01588135,-0.284458771,0.008284611,-0.053968414,-0.594999768,0.010572146,-0.058190849,-0.80745989,0.019868949,53882,0.154,72.94679147,0.120018268,0.296536365,0.94
5065,arkansas,-0.0143303,-0.299615209,0.006496094,,,,-0.026088046,-0.636568749,0.009818182,37828,0.187,9.017189389,0.020672405,0.381742739,0.71
5039,arkansas,-0.005719946,-0.176190295,0.004418336,,,,-0.020915699,-0.53380734,0.015614013,37259,0.213,4.299625822,0.412141465,0.209606987,0.7
5043,arkansas,-0.010014981,-0.281280662,0.004523157,-0.04617543,-0.569428298,0.01091819,-0.029907957,-0.750109533,0.010676788,42494,0.195,8.623895565,0.278481013,0.504592112,0.85
5099,arkansas,-0.010917176,-0.174735068,7.81E-05,,,,-0.014893794,-0.3457128,0.031260786,37626,0.213,5.274363826,0.306870046,0.680080483,0.81
5113,arkansas,-0.013067471,-0.363303462,0.009382525,-0.014112919,-0.393951896,0.017882888,-0.031305205,-0.682058657,0.020370184,39048,0.2,9.076778703,0.005187291,0.408911672,0.76
5135,arkansas,-0.007869962,-0.257344034,0.008906044,-0.007674292,-0.219215361,0.012285105,-0.021339074,-0.600576767,0.041215738,36032,0.207,10.88689047,0.008292065,0.526867628,0.8
5127,arkansas,-0.013287155,-0.282561685,0.005144979,,,,-0.039989474,-0.754735984,0.003662851,35826,0.202,4.518266116,0.005911426,0.288753799,0.72
5141,arkansas,-0.014113365,-0.323109103,0.00949572,-0.016179241,-0.391208026,0.016353296,-0.031430793,-0.746937607,0.010773052,40486,0.164,9.076268141,0.006023008,0.468690702,0.73
5069,arkansas,-0.009563033,-0.222937509,0.00631581,-0.027491525,-0.443167138,0.008109319,-0.030949601,-0.694613037,0.025219097,38596,0.222,31.2545148,0.567695334,0.348957258,0.85
